c_n_sourceID,c_type,c_n_countries_norm,b_n_jurisdiction_description_norm,count
Paradise Papers - Appleby,organization,Turks and Caicos Islands,Cayman Islands,1
Paradise Papers - Appleby,organization,Saint Vincent and the Grenadines,British Virgin Islands,1
Paradise Papers - Appleby,organization,Switzerland,British Virgin Islands,1
Paradise Papers - Appleby,organization,Sweden,Bermuda,1
Paradise Papers - Appleby,organization,Spain,British Virgin Islands,1
Paradise Papers - Appleby,organization,South Africa,Cayman Islands,1
Paradise Papers - Appleby,organization,Singapore,British Virgin Islands,1
Paradise Papers - Appleby,organization,Singapore,Bermuda,1
Paradise Papers - Appleby,organization,Saudi Arabia,Isle of Man,1
Paradise Papers - Appleby,organization,Sweden,Cayman Islands,1
Paradise Papers - Appleby,individual,Saint Lucia,British Virgin Islands,1
Paradise Papers - Appleby,organization,French Guiana,British Virgin Islands,1
Paradise Papers - Appleby,organization,Egypt,British Virgin Islands,1
Paradise Papers - Appleby,individual,United Arab Emirates,Isle of Man,1
Paradise Papers - Appleby,individual,United Arab Emirates,Bermuda,1
Paradise Papers - Appleby,individual,Ukraine,Mauritius,1
Paradise Papers - Appleby,individual,Ukraine,Isle of Man,1
Paradise Papers - Appleby,individual,Thailand,British Virgin Islands,1
Paradise Papers - Appleby,individual,Tanzania,Mauritius,1
Paradise Papers - Appleby,individual,United Kingdom,Guernsey,1
Paradise Papers - Appleby,individual,Taiwan,Isle of Man,1
Paradise Papers - Appleby,individual,Syria,Cayman Islands,1
Paradise Papers - Appleby,individual,Sweden,Mauritius,1
Paradise Papers - Appleby,individual,Suriname,Cayman Islands,1
Paradise Papers - Appleby,individual,South Korea,British Virgin Islands,1
Paradise Papers - Appleby,individual,Singapore,Jersey,1
Paradise Papers - Appleby,individual,Saudi Arabia,British Virgin Islands,1
Paradise Papers - Appleby,individual,Taiwan,British Virgin Islands,1
Paradise Papers - Appleby,organization,Estonia,Isle of Man,1
Paradise Papers - Appleby,individual,United States,Guernsey,1
Paradise Papers - Appleby,individual,United States,Saint Kitts and Nevis,1
Paradise Papers - Appleby,organization,Denmark,Cayman Islands,1
Paradise Papers - Appleby,organization,Colombia,British Virgin Islands,1
Paradise Papers - Appleby,organization,China,Bermuda,1
Paradise Papers - Appleby,organization,Canada,Isle of Man,1
Paradise Papers - Appleby,organization,Canada,Bermuda,1
Paradise Papers - Appleby,organization,Brunei,Cayman Islands,1
Paradise Papers - Appleby,individual,United States,Jersey,1
Paradise Papers - Appleby,organization,Barbados,Cayman Islands,1
Paradise Papers - Appleby,organization,Australia,Cayman Islands,1
Paradise Papers - Appleby,organization,Anguilla,Isle of Man,1
Paradise Papers - Appleby,organization,Albania,Cayman Islands,1
Paradise Papers - Appleby,individual,Zimbabwe,Mauritius,1
Paradise Papers - Appleby,individual,Zimbabwe,Isle of Man,1
Paradise Papers - Appleby,individual,Viet Nam,Bermuda,1
Paradise Papers - Appleby,organization,Bangladesh,Bermuda,1
Panama Papers,individual,Zambia,Bahamas,1
Paradise Papers - Appleby,individual,Brunei,Bermuda,1
Paradise Papers - Appleby,individual,Bolivia,Cayman Islands,1
Panama Papers,organization,Hong Kong,Costa Rica,1
Panama Papers,organization,Hong Kong,Belize,1
Panama Papers,organization,Haiti,Panama,1
Panama Papers,organization,Guatemala,Panama,1
Panama Papers,organization,Gibraltar,Niue,1
Panama Papers,organization,Gibraltar,Malta,1
Panama Papers,organization,Iceland,British Virgin Islands,1
Panama Papers,organization,Gibraltar,British Anguilla,1
Panama Papers,organization,Germany,Bahamas,1
Panama Papers,organization,Georgia,British Virgin Islands,1
Panama Papers,organization,France,Seychelles,1
Panama Papers,organization,France,Bahamas,1
Panama Papers,organization,Finland,Seychelles,1
Panama Papers,organization,El Salvador,Seychelles,1
Panama Papers,organization,Gibraltar,Belize,1
Panama Papers,organization,Egypt,Bahamas,1
Panama Papers,organization,India,British Anguilla,1
Panama Papers,organization,Iran,Hong Kong,1
Panama Papers,organization,Libya,British Virgin Islands,1
Panama Papers,organization,Latvia,British Virgin Islands,1
Panama Papers,organization,Laos,Panama,1
Panama Papers,organization,Laos,Bahamas,1
Panama Papers,organization,Kenya,Panama,1
Panama Papers,organization,Japan,Seychelles,1
Panama Papers,organization,India,Panama,1
Panama Papers,organization,Japan,Panama,1
Panama Papers,organization,Italy,Seychelles,1
Panama Papers,organization,Israel,Samoa,1
Panama Papers,organization,Israel,Panama,1
Panama Papers,organization,Iraq,Niue,1
Panama Papers,organization,Iran,Seychelles,1
Panama Papers,organization,Iran,Panama,1
Panama Papers,organization,Japan,British Anguilla,1
Panama Papers,organization,Liechtenstein,Cyprus,1
Panama Papers,organization,Ecuador,Nevada,1
Panama Papers,organization,Dominica,Bahamas,1
Panama Papers,organization,Brazil,Seychelles,1
Panama Papers,organization,Brazil,Nevada,1
Panama Papers,organization,Bolivia,British Virgin Islands,1
Panama Papers,organization,Belgium,Seychelles,1
Panama Papers,organization,Barbados,Samoa,1
Panama Papers,organization,Barbados,Panama,1
Panama Papers,organization,Brunei,Bahamas,1
Panama Papers,organization,Austria,Bahamas,1
Panama Papers,organization,Armenia,British Virgin Islands,1
Panama Papers,organization,Argentina,Panama,1
Panama Papers,organization,Anguilla,Hong Kong,1
Panama Papers,organization,Anguilla,Belize,1
Panama Papers,organization,Albania,Bahamas,1
Panama Papers,individual,Zimbabwe,Samoa,1
Panama Papers,organization,Australia,Hong Kong,1
Panama Papers,organization,Dominican Republic,Bahamas,1
Panama Papers,organization,Cameroon,Bahamas,1
Panama Papers,organization,Canada,Niue,1
Panama Papers,organization,Denmark,Panama,1
Panama Papers,organization,Côte dIvoire,Panama,1
Panama Papers,organization,Côte dIvoire,British Virgin Islands,1
Panama Papers,organization,Côte dIvoire,Bahamas,1
Panama Papers,organization,Curaçao,Seychelles,1
Panama Papers,organization,China,Nevada,1
Panama Papers,organization,Cameroon,Seychelles,1
Panama Papers,organization,Chile,Seychelles,1
Panama Papers,organization,Central African Republic,Seychelles,1
Panama Papers,organization,Central African Republic,Samoa,1
Panama Papers,organization,Central African Republic,Niue,1
Panama Papers,organization,Central African Republic,Bahamas,1
Panama Papers,organization,Cape Verde,British Virgin Islands,1
Panama Papers,organization,Canada,Samoa,1
Panama Papers,organization,Chile,British Virgin Islands,1
Paradise Papers - Appleby,individual,Bosnia and Herzegovina,British Virgin Islands,1
Panama Papers,organization,Liechtenstein,Hong Kong,1
Panama Papers,organization,Macao,Niue,1
Panama Papers,organization,United Kingdom,Nevada,1
Panama Papers,organization,United Kingdom,Malta,1
Panama Papers,organization,United Kingdom,Cyprus,1
Panama Papers,organization,United Arab Emirates,Samoa,1
Panama Papers,organization,United Arab Emirates,Ras Al Khaimah,1
Panama Papers,organization,Ukraine,Panama,1
Panama Papers,organization,United Kingdom,Niue,1
Panama Papers,organization,Turks and Caicos Islands,Seychelles,1
Panama Papers,organization,Tunisia,British Virgin Islands,1
Panama Papers,organization,Thailand,Samoa,1
Panama Papers,organization,Thailand,British Anguilla,1
Panama Papers,organization,Tanzania,Samoa,1
Panama Papers,organization,Syria,British Virgin Islands,1
Panama Papers,organization,Switzerland,Hong Kong,1
Panama Papers,organization,Turks and Caicos Islands,Panama,1
Panama Papers,organization,Sweden,Seychelles,1
Panama Papers,organization,United States,Belize,1
Panama Papers,organization,Uzbekistan,British Virgin Islands,1
Paradise Papers - Appleby,individual,Bolivia,Bermuda,1
Paradise Papers - Appleby,individual,Belgium,Mauritius,1
Paradise Papers - Appleby,individual,Belgium,Guernsey,1
Paradise Papers - Appleby,individual,Barbados,British Virgin Islands,1
Paradise Papers - Appleby,individual,Bangladesh,Cayman Islands,1
Paradise Papers - Appleby,individual,Bahrain,Jersey,1
Panama Papers,organization,United States,Wyoming,1
Paradise Papers - Appleby,individual,Austria,Guernsey,1
Paradise Papers - Appleby,individual,Australia,Guernsey,1
Paradise Papers - Appleby,individual,Aruba,Isle of Man,1
Paradise Papers - Appleby,individual,Antigua and Barbuda,British Virgin Islands,1
Paradise Papers - Appleby,individual,Angola,Mauritius,1
Paradise Papers - Appleby,individual,Albania,Jersey,1
